passenger_id,origin,destination,arrival_time,time_slot
0,211,13,432,1
4,79,125,323,1
5,211,13,411,1
6,148,232,526,1
7,261,211,402,1
8,211,13,335,1
10,114,88,580,1
11,79,148,415,1
12,249,79,536,1
14,148,4,526,1
16,249,125,319,1
18,113,158,500,1
19,261,158,450,1
20,125,113,448,1
21,45,148,473,1
25,261,45,407,1
29,231,79,419,1
32,12,79,321,1
33,113,13,308,1
34,249,113,351,1
36,144,87,484,1
39,113,249,435,1
40,249,79,374,1
42,158,249,537,1
43,211,148,578,1
44,113,261,373,1
45,144,148,569,1
46,211,231,347,1
48,249,211,344,1
49,4,79,370,1
50,79,158,316,1
52,249,87,374,1
53,261,148,557,1
54,113,79,598,1
56,249,231,418,1
57,13,79,453,1
58,113,125,553,1
62,249,148,323,1
63,231,13,505,1
1,4,261,181,0
2,144,231,55,0
3,148,79,207,0
9,144,88,118,0
13,13,231,23,0
15,13,249,252,0
17,113,79,189,0
22,144,4,268,0
23,249,87,176,0
24,45,232,78,0
26,148,249,159,0
27,87,45,32,0
28,231,158,88,0
30,13,125,248,0
31,113,79,248,0
35,249,211,82,0
37,209,261,99,0
38,249,231,208,0
41,113,249,209,0
47,209,231,142,0
51,249,79,214,0
55,148,261,82,0
59,113,211,74,0
60,261,45,15,0
61,261,87,147,0
64,144,79,167,0
