taxi_id,start_pos,arrival_time
0,87,0
1,148,0
2,158,0
3,114,0
4,125,0
5,148,0
6,87,0
7,231,0
8,4,0
9,232,0
10,12,0
11,158,0
12,113,0
13,209,0
14,88,0
15,261,0
16,87,0
17,261,0
18,148,0
19,144,0
20,211,0
21,261,0
22,79,0
23,125,0
24,249,0
25,4,0
26,209,0
27,125,0
28,125,0
29,113,0
30,12,0
31,4,0
32,249,0
33,114,0
34,209,0
35,231,0
36,144,0
37,114,0
38,113,0
39,45,0
40,88,0
41,249,0
42,45,0
43,79,0
44,249,0
45,148,0
46,158,0
47,232,0
48,209,0
49,125,0
50,261,0
51,231,0
52,4,0
53,79,0
54,231,0
55,13,0
56,113,0
57,114,0
58,125,0
59,45,0
60,113,0
61,79,0
62,87,0
63,88,0
64,114,0
65,4,0
66,13,0
67,144,0
68,231,0
69,231,0
70,113,0
71,144,0
72,211,0
73,4,0
74,12,0
75,249,0
76,209,0
77,45,0
78,4,0
79,209,0
