numTasks,all-local,D1,pure LLM(B),"A(bup=1e7,bdown=5e7)","A(bup=2e7,bdown=5e7)","A(bup=3e7,bdown=5e7)","A(bup=4e7,bdown=5e7)","A(bup=5e7,bdown=5e7)",最佳可行方案
5,382.9527,91.5941,45.6268,39.8967,24.7126,19.6805,16.9636,15.2991,A@5e7
10,412.1749,189.0702,111.4836,104.4159,82.6082,75.4927,69.4172,69.3942,A@3e7
15,374.4333,245.4209,,172.6598,140.0896,130.0152,124.7924,121.7654,A@3e7
20,391.0320,,,214.1178,189.0276,180.6176,175.5393,171.3010,A@2e7
25,399.7014,,,243.1145,224.0469,219.3364,215.1156,213.5367,A@5e7
30,417.1505,,,292.9257,268.5653,262.0636,258.1018,257.5512,A@4e7
35,423.3593,,,313.0313,296.4883,290.0133,287.0687,285.8539,A@5e7
40,414.6226,,,339.3245,312.2512,302.6952,299.8203,372.4805,A@3e7
45,409.8158,,,334.1255,320.0236,310.0578,307.0897,305.9691,A@5e7
50,421.0855,,,384.2758,341.9056,329.0978,327.8233,324.9640,A@4e7
