numTasks,all-local,D1,pure LLM(B),A(tau=0.5),A(tau=1.0),A(tau=1.5),A(tau=2.0),最佳可行方案
5,382.9527,91.5941,45.5286,30.8337,15.6741,8.5126,7.6840,A@2.0
10,412.1749,189.0868,107.4062,41.8338,20.3365,13.4853,10.0788,B
15,374.4333,245.4421,174.5978,54.1579,26.7531,17.4916,13.2808,B
20,391.0320,286.9156,212.0986,81.7521,37.2774,27.2784,18.9833,B
25,399.7014,322.9022,324.3574,120.1385,60.7491,40.5160,30.3582,D1
30,417.1505,366.1558,295.7626,193.7693,98.6771,67.9400,49.5403,D1
35,423.3593,390.1028,323.4007,261.1075,135.0712,85.3411,63.7769,B
40,414.6226,397.7710,349.9716,308.1268,162.7698,106.1563,77.7750,D1
45,409.8158,400.7855,347.8901,390.7209,175.2468,122.5090,89.6441,D1
50,421.0855,418.0829,385.1185,481.0765,220.3628,143.5549,109.6916,D1
